title,price,DP Type,Brand,Content,Type,Thumbnail
Lime Approx. 250g,INR 14.70,Lime,Grocery,250 Gm,LULU,https://www.luluhypermarket.in/medias/10683-001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNDQ3fGltYWdlL2pwZWd8aGM5L2gyMi84ODQ4Nzg4NzgzMTM0LzEwNjgzLTAwMS5qcGdfOTZXeDk2SHxkODEyNzg2YWE0ZTljYWM1YTc4NWMyNzA5MmE3NzFjMmUyOThmNDc1NDg5N2IwY2NiZDZmYjc3NDI5MWNmNGI5
Apple Green Approx. 1Kg,INR 218.90,Apple,Grocery,0.9-1 kg,LULU,https://www.luluhypermarket.in/medias/10546-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMzU2fGltYWdlL2pwZWd8aGQ1L2hjZS84ODQ4NDAxMTA0OTI2LzEwNTQ2LTAxLmpwZ185Nld4OTZIfDczMDBiZTA3Y2I2ZGUzNWQzMTk4ZWY1MGZlZWE5YWJhMDI4MzNhZGEwOTU3ZDE1ZmI4MjQyMzQ1ZTFhMmI4Yjg
Green Mountain Banana Approx. 500g,INR 22.50,Grocery,FRESH,500 Gm,Vegetables,https://www.luluhypermarket.in/medias/10806-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNjk5fGltYWdlL2pwZWd8aDFlL2gxNy84ODQ5Mzg1MTYwNzM0LzEwODA2LTAxLmpwZ185Nld4OTZIfDNjNjAwMGJlZTBmNDkzZThkNmVhYTM3ZDEyNmQ3ZTNhMjI2MTMxMWExMmVlYjA2ZDM3OTkzMzMzZGFjMjQ0Yjg
Tomato Approx. 500g,INR 29.70,Grocery,1 Kg,Lulu,Vegetables,https://www.luluhypermarket.in/medias/7649-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyODY5fGltYWdlL2pwZWd8aDM5L2gyYy84ODYyMzMyNjgyMjcwLzc2NDktMDEuanBnXzk2V3g5Nkh8MTlmYWY1N2ZmN2VlMmQwMzMxMDFiYThlMjE4MjBmNzI1MDAyM2JkNjkwOTk5NGQ0YWU5YWRiMzVkOTA0ODNkOA
Lump Sugar (Kalkandam) 250g,INR 23.75,Sugar,Grocery,250 Gm,LULU,https://www.luluhypermarket.in/medias/9118-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMjU5MHxpbWFnZS9qcGVnfGhhOS9oYmYvODg1MDEyMTI2MTA4Ni85MTE4LTAxLmpwZ185Nld4OTZIfDJjYTNmYjc5OGE5Y2JlMDYzZjM4ZGVlNDY5ZTRiZGFlYzYwNjI2YzFjMTk3ZWJlMjM0NmUxZjhjNzk0MTllZTE
Amul Pasteurised Butter 100g,INR 48.00,AMUL,100 Gm,Grocery,Soft Butter,https://www.luluhypermarket.in/medias/12280-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNTM0M3xpbWFnZS9qcGVnfGg2ZS9oNzcvODg0OTUzMzIwNjU1OC8xMjI4MC0wMS5qcGdfOTZXeDk2SHw4ODAwNTRhNGY0NzVjMGViOWJkMmI0OTAzYWEwYTBjYWY3NTIwZjA3YjIxMmNmYTJlNzQxOGMyMzNmZGZmZDFm
Premium Doughnut 4's,INR 99.00,Doughnuts,Lulu,4 Pcs,Grocery,https://www.luluhypermarket.in/medias/286582-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNDg3NXxpbWFnZS9qcGVnfGgxZi9oODEvODg2MjMwNzkwOTY2Mi8yODY1ODItMDEuanBnXzk2V3g5Nkh8Mzc0NmNhYzMxM2FhN2VjODVjNTVhNTU0MTdmNWRiNWJmM2NjNzk0ZmU0YTIxYzZhNWJiOTExMjdlNWQ5MjczZg
Lump Sugar Palm (Panamkalkandam) 250g,INR 212.25,Sugar,Grocery,250 Gm,LULU,https://www.luluhypermarket.in/medias/77166-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMzc4NXxpbWFnZS9qcGVnfGgyYy9oNTkvODgwNzM2NDY4OTk1MC83NzE2Ni0wMS5qcGdfOTZXeDk2SHwwMzQ2NTM3YjJlNDNiYWY5YWZlNGM3NjcxMDBmZTY3NGVlN2Y4NThmYTNhNDdhZGU4ZDllNWE3YTJjYTkxZmFi
Milky Mist Paneer 200g,INR 79.00,Soft Cheese,Grocery,200 Gm,MILKY MIST,https://www.luluhypermarket.in/medias/11307-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNjc3MXxpbWFnZS9qcGVnfGhjYi9oYzQvODg1MDQwMDgzNzY2Mi8xMTMwNy0wMS5qcGdfOTZXeDk2SHxiYjIyNWZkN2YxODRkMTljMGVkZjY0MzYxODcxMWI4N2NmMWYzODkxZmNhNWFkNTNiNTBlNDIyOTA2M2U5N2Y1
Carrot Approx. 500g,INR 29.70,Grocery,Lulu,500 Gm,Vegetables,https://www.luluhypermarket.in/medias/8260-001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNTc5fGltYWdlL2pwZWd8aDZiL2gyYi84ODQ4NTg4ODMyNzk4LzgyNjAtMDAxLmpwZ185Nld4OTZIfDNjNzc2NjI4ODJmNzRjNmU1NDAzM2I5MWEzMTcxOTU4ODNlZDM1YWVhZTliOGE5ZmZhZDI4ZjFjOTMxODRhYjA
Bush Beans Approx. 500g,INR 35.70,Grocery,Lulu,500 Gm,Vegetables,https://www.luluhypermarket.in/medias/9094-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMTQ5NXxpbWFnZS9qcGVnfGhhOS9oNWMvODg0OTYzMjg4NjgxNC85MDk0LTAxLmpwZ185Nld4OTZIfDg0YmU2YzUxYjQwMGNkZDQyYTE2ODUxZDY1YmZkY2Y3MTFhOWJiYzYyODljOTJlMGE5ZTlhOTNkOWNhNjBhNGM
Milky Mist Set Curd 200g,INR 25.00,Plain Yoghurt,MILKY MIST,200 Gm,Grocery,https://www.luluhypermarket.in/medias/11393-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNDQ2OHxpbWFnZS9qcGVnfGhiZS9oZDYvODg0ODYzMzY1OTQyMi8xMTM5My0wMS5qcGdfOTZXeDk2SHwyM2UwZWVkZTExMmZhYjE1ZGU5NDRiNTI1NjIzYzg4NWQ3ZWUxYTMxMjVhNWVhYmI2NDZjYzA5OGVmYmRjYmU0
Tilapia Approx. 1Kg,INR 189.00,Whole Fish,LULU,Approx. 1Kg,Grocery,https://www.luluhypermarket.in/medias/62914-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMDM5NHxpbWFnZS9qcGVnfGgwNy9oNzIvODg1MTk1MDIwNzAwNi82MjkxNC0wMS5qcGdfOTZXeDk2SHwwNzFlMzZlYWYxNzhhODBiZTk3YTQ1ODIyNTEwM2ZkODY1NDRmMDcxZWM0NjNhYmQ5NTViMGFhZTcxOGI2ODMz
President Butter Salted 500g,INR 260.00,PRESIDENT,500g,Grocery,Soft Butter,https://www.luluhypermarket.in/medias/804346-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMTQ2M3xpbWFnZS9qcGVnfGg4ZS9oMmMvODgzODU5NTM3OTIzMC84MDQzNDYtMDEuanBnXzk2V3g5Nkh8MzQ5ZDBjNmFhODVjNzBmNDcyZGE2YjBjMmEwNmYxMDdhNGUyM2JiYjY5MWQ2ODViMzQ1ZWNlNjA0NmY1NWFiOA
Milkers Premium Set Curd,INR 115.00,Plain Yoghurt,1Kg,Plain Yoghurt,1Kg,https://www.luluhypermarket.in/medias/1025499-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w1OTY5fGltYWdlL2pwZWd8aDk0L2g4OC84OTAyOTUyNTUwNDMwLzEwMjU0OTktMDEuanBnXzk2V3g5Nkh8MDY4NzkwODUwN2EyNTAyZjlmZDJkYjE5ZDljZGUwZTlkYWZiYTVlNjE1MTg3NTY0N2ZlMWVhZGQ3ZDQxMjYzZA
Garlic 250gm,INR 37.50,Grocery,Lulu,250 Gm,Vegetables,https://www.luluhypermarket.in/medias/7596-001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNjE0fGltYWdlL2pwZWd8aDRiL2g0OC84ODQ5NjMyMjk2OTkwLzc1OTYtMDAxLmpwZ185Nld4OTZIfGUxYzQ5ZmFiMGI2NWM3ZTA0MGVkYjFmNjI2NzRhZjM5ZWQxOTNkYmE0N2MyNTk5MGQxMTYwYTQ4NDQ1NWJiYTE
Lulu Fruit Rusk 450g,INR 50.00,Lulu,Grocery,450 Gm,Rusk & Toast,https://www.luluhypermarket.in/medias/49554-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMzUzOHxpbWFnZS9qcGVnfGhjZS9oZDAvODgwOTAzMzk1NzQwNi80OTU1NC0wMS5qcGdfOTZXeDk2SHwwYWFiZmExYmQ4YTM0OTRlNzA1N2NkNGM4MzE0NjRjOTJjODU0NjNkYjNlYzY4NzAwMTI0ZjRiZTI5NDk2OWZk
Royal Star White Egg 6's,INR 40.00,Grocery,ROYAL STAR,6's,White Eggs,https://www.luluhypermarket.in/medias/116541-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxODU5M3xpbWFnZS9qcGVnfGgyMS9oZTQvODg1MjYwMDc4Mjg3OC8xMTY1NDEtMDEuanBnXzk2V3g5Nkh8NmU5NmEwODI0ZjZkM2Q4ZWU2ZTg4N2NmYWVhNmFiMWU5NzcwMTdjOGU4MDE1MzBhOGExYWU3ZGIwMDhkN2JhZA
Apple Royal Gala New Zealand Approx. 1Kg,INR 229.90,Grocery,1 kg,Grocery,1 kg,https://www.luluhypermarket.in/medias/10613-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w1OTU1fGltYWdlL2pwZWd8aDgzL2gyNC84ODg3MDU3Mjg1MTUwLzEwNjEzLTAxLmpwZ185Nld4OTZIfDRmZTE0OGU3YTE2Y2UwNjcyMjE0MDcxYjVhNzNmMjI3ZmMwZDhkMDMxNzE5NWE0NGMwZTcxZDhiNzRkNGFjMzU
Beetroot Approx. 500g,INR 29.70,Grocery,Lulu,1 Kg,Vegetables,https://www.luluhypermarket.in/medias/7725-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNTY5fGltYWdlL2pwZWd8aDg3L2g0Ni84ODQ4ODMxMjUwNDYyLzc3MjUtMDEuanBnXzk2V3g5Nkh8ZGEwZjkxNGM1YTcwZWY2ZDM1MWUwZDE2OWQ2NmRmZmZmNTdkZDExYjZjY2JiNGMxNzM2YmZkN2RkY2MyZGFhYQ
Potato Premium Approx. 1Kg,INR 54.45,Grocery,Lulu,1 Kg,Vegetables,https://www.luluhypermarket.in/medias/624351-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNzcxfGltYWdlL2pwZWd8aDk1L2g1ZC84ODIzOTIwNDI3MDM4LzYyNDM1MS0wMS5qcGdfOTZXeDk2SHw0N2RhYWE5NTQzNTQ0MWZmMGM0MjI3ZTBiZjhlNTQ3MTBlOGU4NDdlNWQ2MDYwN2ZiNjMyYzZiZWE3OTFhMmVm
Lulu Jeera Rusk 450g,INR 45.00,Lulu,Grocery,450 Gm,Rusk & Toast,https://www.luluhypermarket.in/medias/49556-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNDA2N3xpbWFnZS9qcGVnfGg5Yy9oNWUvODg2MjE3NjM3ODkxMC80OTU1Ni0wMS5qcGdfOTZXeDk2SHxkNmU5Mjk3YTg2YzQ4MzZjN2Q0NDVhZjM1OWVhNTI0NzE3Y2VkN2Q3NGIzMTVhZjAzNjk1Y2M0MjM0NzQyMzA3
Lady's Finger Approx. 500g,INR 20.70,Grocery,Lulu,500 Gm,Vegetables,https://www.luluhypermarket.in/medias/9136-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNjA3fGltYWdlL2pwZWd8aGFiL2g4OC84ODQ5MTAzNzQ5MTUwLzkxMzYtMDEuanBnXzk2V3g5Nkh8MjBiMmJkNGEwYjM4Y2U4ODkxNjU5YjUzNTIzYWFmZDFlN2ZiN2RlYzMwZDY2YWU0MGUzZjg5ZmE4ZjRiMDg1ZQ
Cut Chicken(Skin Less) Approx. 1 kg,INR 195.00,Chicken Parts,LULU,Approx. 1 kg,Grocery,https://www.luluhypermarket.in/medias/113763-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNDQ2NnxpbWFnZS9qcGVnfGg0ZS9oNTAvODg1MjE1MzEwNjQ2Mi8xMTM3NjMtMDEuanBnXzk2V3g5Nkh8MGUwYTdlZDI4NGM5OTdkNzczNTVhMWQ4ODMzMzE2ZDNkZWRiMmY4NmJiODM4MjIxNzI5ZmUyN2E4ZDU1MTZmMg
Mutton Curry Cuts Approx. 1 kg,INR 650.00,Mutton,LULU,Approx. 1 kg,Grocery,https://www.luluhypermarket.in/medias/93390-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNzE0M3xpbWFnZS9qcGVnfGhlZC9oYzEvODgwNjYyNjM2MTM3NC85MzM5MC0wMS5qcGdfOTZXeDk2SHwyMzI2OWI5YWEyMTY1NGNjZWEyYjRkNWJkNjdmYTc3MzdiM2QzN2FhNTc1NWM4ODRjZGNjYzc0OTJjMDExOTdj
Chocolate Doughnuts 200g,INR 89.00,Doughnuts,Lulu,200 Gm,Grocery,https://www.luluhypermarket.in/medias/49478-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMjA2MnxpbWFnZS9qcGVnfGhhOS9oZjUvODgwOTAxMjEzMzkxOC80OTQ3OC0wMS5qcGdfOTZXeDk2SHwxZGIyM2EzODQ1NjYyNTZmYjc0ZmVkNjU5YjI5YmZjYmVlODY0N2VhNzk5ZGE1MDQ1YzY2ZjdiNzJjMTQ4ZDBj
Milky Mist Set Curd 1kg,INR 99.00,Plain Yoghurt,MILKY MIST,1 Kg,Grocery,https://www.luluhypermarket.in/medias/182411-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNTgwOXxpbWFnZS9qcGVnfGg3ZS9oNjYvODg0OTYzNTgzNTkzNC8xODI0MTEtMDEuanBnXzk2V3g5Nkh8ZmFjOTdkNTg0MTc1ZjFhMTE4NzIwM2JmYWZiNjBmNDcxZmI5OTI4NzRhMjEwMjAyZjRkYThjNmIwODdkZjQxZQ
White Prawns 500gm,INR 231.00,Shell Fish,LULU,Grocery,500gm,https://www.luluhypermarket.in/medias/62980-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNDMxNnxpbWFnZS9qcGVnfGg4OC9oOWUvODg1MTUxNTExMzUwMi82Mjk4MC0wMS5qcGdfOTZXeDk2SHxjYzQxZjMyNzYzYTg2YzhlNzU1N2ZmZmQwNjY5ZWNmYjQ5NjE4Y2U5NWIwNzhmMTI1YjBlODk1NGQwNzhiMTBj
Butterscotch Loaf Cake 450gm,INR 99.00,LuLu,Grocery,Grocery,450 Gm,https://www.luluhypermarket.in/medias/983665-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNDYwMXxpbWFnZS9qcGVnfGgwOS9oYjQvODg1MzYwMDAxMDI3MC85ODM2NjUtMDEuanBnXzk2V3g5Nkh8ZTk2ZDZmNjA4NzJlNGUyMWY3YjFkYTE4YjI4MWQ4ZGQwM2ViY2JhM2NmZjg0MzQ1MjQ3NzhhY2JjODQzNjQ0YQ
Milma Fresh Milk Pride 500ml,INR 24.00,Fresh Milk,500 Ml,MILMA,Grocery,https://www.luluhypermarket.in/medias/269327-001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w0MzczfGltYWdlL2pwZWd8aDZkL2gwMi84ODE3NTc5Njg3OTY2LzI2OTMyNy0wMDEuanBnXzk2V3g5Nkh8MDMzYzA5NTBiNWE0NjY5NzgyMzQzYzVhY2Y0M2Q4NGNlOWM2MWNiMDEwOWVhNjE4YzQ3MmY2NGMwNjBlNDk4Yw
Orange Valencia Approx. 1Kg,INR 154.80,Orange,Grocery,0.95 kg -1.05 kg,LULU,https://www.luluhypermarket.in/medias/10708-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNTE3fGltYWdlL2pwZWd8aDQyL2hhNS84ODQ5MTU4NjY4MzE4LzEwNzA4LTAxLmpwZ185Nld4OTZIfDExYTc0NDE5MTQyNmVhYTk2NDEyNzdmM2E2YzVlYmI1YmQxZGFiMzkxMTIzYzY3NmJkZTJhYTllYjI3M2Q2YWQ
Onion 2.5kg Bag,INR 56.50,Grocery,Lulu,2.5 Kg,Vegetables,https://www.luluhypermarket.in/medias/9082-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w3ODYyfGltYWdlL2pwZWd8aDQxL2g1MS84ODQ4Nzc5MzQ1OTUwLzkwODItMDEuanBnXzk2V3g5Nkh8MmFmMzMyZjkxMzhhYWE1MzgyOTQ0OTIzMzZjNGNiN2YzODcyN2ZhMDU1OTA5NTRhYmY5YzA1ZDdjOGZlZjMyMw
Ginger Approx 300gm,INR 35.85,Grocery,Lulu,300 Gm,Vegetables,https://www.luluhypermarket.in/medias/7606-001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMzU1fGltYWdlL2pwZWd8aGUyL2gxMy84ODQ5MTE1MDIxMzQyLzc2MDYtMDAxLmpwZ185Nld4OTZIfDBmMzg0ZmY3OTliZmJiZWNiNzZhNDA5YjViYTMxNTlhNjVjZmJjYTM4OWE3ZWM3MzIyMjQ3NGQwMzI2YjZmNDE
Drumstick Approx. 300g,INR 16.35,Grocery,Lulu,250g - 300g,Vegetables,https://www.luluhypermarket.in/medias/9134-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNjg5fGltYWdlL2pwZWd8aGI0L2hhMi84ODUwMDc0MDc1MTY2LzkxMzQtMDEuanBnXzk2V3g5Nkh8NjhmMDU0MTMxMmQzYTA5NmY1MjljMmE3YTc0OTJiMjE4OTQyZGIyYmUxMGVlYTRjYTFhMDc0ZTE3NmM5MDFiMw
Onion Red Approx. 1Kg,INR 21.45,Grocery,Lulu,1 Kg,Vegetables,https://www.luluhypermarket.in/medias/192392-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNzA2fGltYWdlL2pwZWd8aDczL2gxYS84ODQ5OTIwMTMxMTAyLzE5MjM5Mi0wMS5qcGdfOTZXeDk2SHxlMjBmZmUzNmEzMWFlZmExMjk1YTkzNWUyNzY2MzVkMzQ0ZWQ1ODEzY2JjODk3NDlmZDNiZWQ2ZTkzMzFmOWQw
Chilli Green Approx. 250g,INR 17.85,Grocery,Lulu,250 Gm,Vegetables,https://www.luluhypermarket.in/medias/7582-0001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNzk2fGltYWdlL2pwZWd8aDQxL2g1NC84ODUwMjQ1MTI0MTI2Lzc1ODItMDAwMS5qcGdfOTZXeDk2SHxkZjYwYTkwNWRhNzE1YWM2NjI2NGM0MTAyZDhkMjE5NDA1YzY0NWRiZWIzYTViMTk3YTdlMDRhZWI2NGJiZjAz
Coconut 1 Pc,INR 24.50,Grocery,Lulu,1 Pc,Vegetables,https://www.luluhypermarket.in/medias/7669-001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzMTQxfGltYWdlL2pwZWd8aDk4L2g0OC84ODUwMjkwNTQwNTc0Lzc2NjktMDAxLmpwZ185Nld4OTZIfDljY2I3YjZiNDU0MDk0MDU3MGI1NTYxNDAyYzE2Y2M5MTFjZjZkYTExYmFiNTUyYzJjNGU2MDQ0ZDY4ZjE1NGY
Fresh Dates Fardh 500g,INR 124.50,IH F&V,Grocery,500g,Dates,https://www.luluhypermarket.in/medias/6518-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNDk3NnxpbWFnZS9qcGVnfGhiMC9oYTQvODc5ODcwMzkxMDk0Mi82NTE4LTAxLmpwZ185Nld4OTZIfDBlNDlhNTQ4YzkxOTc3NjdjZDI5ZjdiZWNlYzNhYjY2N2UyMmNhMDZlNTkyZTNhNTNlOGRlZjhiN2NmYzkzMTM
Chocolate Brownies 2's,INR 99.00,Pre Pack Cakes,LULU,Grocery,2 Pcs,https://www.luluhypermarket.in/medias/10266-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMTg5NXxpbWFnZS9qcGVnfGgwMC9oNjMvODg0ODc5MDU1MjYwNi8xMDI2Ni0wMS5qcGdfOTZXeDk2SHxmMDE4NWE0YmU3YzA2YWUyY2M1NjBkNWI0YTA2ZTE5ODU1YjM3ZWUzMmVlN2JjNjQzZGZhOGYyZmI0NDM2YzJl
Boneless Buffalo Meat Approx. 1 kg,INR 380.00,Beef,Grocery,LULU,Approx. 1 kg,https://www.luluhypermarket.in/medias/93468-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNDU0OHxpbWFnZS9qcGVnfGg4Ni9oYzkvODgwNzI2MDI5MTEwMi85MzQ2OC0wMS5qcGdfOTZXeDk2SHw0NGRiNGUwYmI5NTNjYjM2ZDNiNjBiNDhmZWY5ZjE0MjE5MDc3NTUwYjYzM2M2YTUwYmEyZWJlMGMwNmY0MjE4
